architecture,experiment,run,records,successful,failed,completion_yield,workers,api_concurrency,task_timeout_seconds,checkpoint_every,wall_seconds,runtime_minutes,usable_records_per_minute,average_time_per_success,avg_worker_processing_time,timeout_errors,rate_limit_errors,content_filter_errors,connection_errors,api_calls,llm_calls,embedding_calls,chat_prompt_tokens,chat_completion_tokens,embedding_tokens,total_tokens,gpt5_input_usd_per_1m,gpt5_output_usd_per_1m,embedding_usd_per_1m,estimated_public_cost_usd,cost_per_usable_record_usd,notes
single_agent,baseline,baseline_limit200_w8_a3_t300_k50,200,199,1,0.995,8,3,300,50,5619,93.65,2.125,28.236,187.014,1,0,0,0,1649,1449,200,13919342,705696,6230,14631268,1.25,10,0.02,24.4563,0.1229,initial 200-record baseline
single_agent,worker_sweep,worker_limit200_w3_a3_t300_k50,200,200,0,1.000,3,3,300,50,3801,63.35,3.157,19.005,56.341,0,0,0,0,1631,1431,200,13739153,656065,6545,14401763,1.25,10,0.02,23.7347,0.1187,worker sweep with fixed API concurrency 3
single_agent,worker_sweep,worker_limit200_w4_a3_t300_k50,200,200,0,1.000,4,3,300,50,3761,62.68,3.191,18.805,74.502,0,0,0,0,1636,1436,200,13802177,680197,6868,14489242,1.25,10,0.02,24.0548,0.1203,worker sweep with fixed API concurrency 3
single_agent,worker_sweep,worker_limit200_w6_a3_t300_k50,200,200,0,1.000,6,3,300,50,3786,63.10,3.170,18.930,112.035,0,0,0,0,1632,1432,200,13757015,664863,6645,14428523,1.25,10,0.02,23.8450,0.1192,worker sweep with fixed API concurrency 3
single_agent,worker_sweep,worker_limit200_w8_a3_t300_k50,200,200,0,1.000,8,3,300,50,3695,61.58,3.248,18.475,144.786,0,0,0,0,1628,1428,200,13700013,658364,6381,14364758,1.25,10,0.02,23.7088,0.1185,worker sweep with fixed API concurrency 3
single_agent,worker_sweep,worker_limit200_w12_a3_t300_k50,200,200,0,1.000,12,3,300,50,3558,59.30,3.373,17.790,207.308,0,0,0,0,1632,1432,200,13733758,674532,6576,14414866,1.25,10,0.02,23.9126,0.1196,worker sweep with fixed API concurrency 3
single_agent,api_sweep,api_limit200_w12_a1_t300_k50,200,200,0,1.000,12,1,300,50,10095,168.25,1.189,50.400,,0,0,0,0,1633,1433,200,13763323,679725,6607,14449655,1.25,10,0.02,24.0015,0.1200,API sweep with fixed worker count 12
single_agent,api_sweep,api_limit200_w12_a2_t300_k50,200,200,0,1.000,12,2,300,50,4914,81.90,2.442,24.500,,0,0,0,0,1631,1431,200,13763404,670480,6990,14440874,1.25,10,0.02,23.9092,0.1195,API sweep with fixed worker count 12
single_agent,api_sweep,api_limit200_w12_a3_t300_k50,200,200,0,1.000,12,3,300,50,3237,53.95,3.707,16.200,,0,0,0,0,1629,1429,200,13724276,655828,6779,14386883,1.25,10,0.02,23.7138,0.1186,API sweep with fixed worker count 12
single_agent,api_sweep,api_limit200_w12_a4_t300_k50,200,200,0,1.000,12,4,300,50,3109,51.82,3.860,15.545,178.770,0,0,0,0,1632,1432,200,13750516,659064,6669,14416249,1.25,10,0.02,23.7789,0.1189,API sweep with fixed worker count 12
single_agent,api_sweep,api_limit200_w12_a6_t300_k50,200,200,0,1.000,12,6,300,50,2294,38.23,5.231,11.470,132.001,0,0,0,0,1631,1431,200,13761846,670382,7078,14439306,1.25,10,0.02,23.9063,0.1195,API sweep with fixed worker count 12
single_agent,api_sweep,api_limit200_w12_a8_t300_k50,200,200,0,1.000,12,8,300,50,1647,27.45,7.286,8.235,95.377,0,0,0,0,1643,1443,200,13891100,689877,6587,14587564,1.25,10,0.02,24.2628,0.1213,API sweep with fixed worker count 12
single_agent,api_sweep,api_limit200_w12_a12_t300_k50,200,200,0,1.000,12,12,300,50,1141,19.02,10.517,5.705,64.924,0,0,0,0,1631,1431,200,13745153,685051,6843,14437047,1.25,10,0.02,24.0321,0.1202,best observed single-agent throughput
