Size,CUDA,Dtype,Lookup Table,FPS
256x256,Yes,uint8,Yes,215
256x256,No,uint8,Yes,232
256x256,Yes,uint16,Yes,212
256x256,No,uint16,Yes,245
256x256,Yes,uint8,No,255
256x256,No,uint8,No,320
256x256,Yes,uint16,No,224
256x256,No,uint16,No,270
512x512,Yes,uint8,Yes,182
512x512,No,uint8,Yes,112
512x512,Yes,uint16,Yes,180
512x512,No,uint16,Yes,116
512x512,Yes,uint8,No,230
512x512,No,uint8,No,245
512x512,Yes,uint16,No,195
512x512,No,uint16,No,150
1024x1024,Yes,uint8,Yes,129
1024x1024,No,uint8,Yes,39
1024x1024,Yes,uint16,Yes,129
1024x1024,No,uint16,Yes,39
1024x1024,Yes,uint8,No,178
1024x1024,No,uint8,No,160
1024x1024,Yes,uint16,No,152
1024x1024,No,uint16,No,57
2048x2048,Yes,uint8,Yes,60
2048x2048,No,uint8,Yes,11.5
2048x2048,Yes,uint16,Yes,60
2048x2048,No,uint16,Yes,11.2
2048x2048,Yes,uint8,No,98
2048x2048,No,uint8,No,72
2048x2048,Yes,uint16,No,74
2048x2048,No,uint16,No,17
3072x3072,Yes,uint8,Yes,32
3072x3072,No,uint8,Yes,5.4
3072x3072,Yes,uint16,Yes,32
3072x3072,No,uint16,Yes,5.2
3072x3072,Yes,uint8,No,43
3072x3072,No,uint8,No,39
3072x3072,Yes,uint16,No,41
3072x3072,No,uint16,No,8.4
4096x4096,Yes,uint8,Yes,20
4096x4096,No,uint8,Yes,2.9
4096x4096,Yes,uint16,Yes,20
4096x4096,No,uint16,Yes,2.9
4096x4096,Yes,uint8,No,35
4096x4096,No,uint8,No,24
4096x4096,Yes,uint16,No,26
4096x4096,No,uint16,No,4.9
