app,system,size,nodes,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
stencil,dask,20000,16,1522.0528100480635,999.6512014735428,1522.0831378303947,1129.9918203557888,1458.5396518676778,7094.813922342121,1429.3949074601148,1496.546948998809,1462.2226566051017,2682.6823785183146
stencil,dask,20000,1,7294.6599029471445,8613.681180850685,6550.945618229493,6473.426340802311,3779.1899235608926,4200.14677983776,4211.996894690157,4150.131714498651,9028.834232022651,8236.062326235871
stencil,dask,20000,24,922.0353574592506,3910.958009086871,868.4470677951736,4369.627712101597,905.2289295954378,1135.182765238595,866.6180276176847,4887.754157785289,875.6068839283911,3503.384285658635
stencil,dask,20000,2,4600.191616486593,3978.2454208979384,4312.872568707161,4152.055053797586,2697.751823314751,4440.364337113494,6289.722227439491,4187.571171554984,4305.737103133469,2949.0743816088543
stencil,dask,20000,32,673.9683378108114,4118.414900314842,679.68689179739,1407.6321414880765,643.8133577472895,4003.790713252709,664.1334868806027
stencil,dask,20000,4,2062.854177456553,2421.56396820383,6416.795100375274,2697.379911808193,5944.084352220732,2907.382540634648,3167.4309459507695,2326.432107638127,1481.2931767763098,2217.956940443291
stencil,dask,20000,8,1319.5117446286565,403.8918855186204,3606.615266143833,4100.945606288023,3208.921383719419,706.1946415988144,3303.247772790477,659.4180001012742,3254.6361977494485,1959.1664703475121
stencil,dask,28000,2,8979.803518757988,5642.566467851883,1680.3562620633911,9275.983117790185,4186.703330889091,8943.613386149007
stencil,dask,40000,4,12515.436898967584,9520.16109841501,13512.720993923971
stencil,dask,56000,8,15271.272927678976
stencil,heat,100000,4,9842.155742808998,9850.05907648828,9838.341171358912,9818.524932063468,9832.38995801777,9800.772900010952,9809.611034083295,9834.507089587498,9834.172768471142,9831.221163698285
stencil,heat,140000,8,14682.43084788172,14728.944999939775,14790.699978146356,14798.721837012181,14745.890661534191,14715.662352575591,14768.044021181664,14718.092229028853,14710.134983090233,14771.951967402862
stencil,heat,200000,16,18788.45227674558,18879.57079439733,18751.037312791344,18846.25348671635,18892.00567679968,18790.154491940873,18902.474043282622,18825.675830071083,18836.969179583215,18877.734896692604
stencil,heat,240000,24,20753.17286914224,20749.721635504087,20813.86306462139,20796.62160119651,20789.99367433732,20666.6624561791,20835.15817332075,20849.094591996763,20840.36751208333
stencil,heat,280000,32,21632.499490490012,21649.828391534993,21646.81054749633,21671.8698914996,21678.116975241577,21577.968459854488,21666.417954794648
stencil,heat,50000,16,16219.073923811273,16141.63507450707,16425.33519052986,16430.066113754834,16439.21005055208,16344.692735391052,16113.818916275,16499.81747352204,16147.460279598643,16497.227136576952
stencil,heat,50000,1,3610.9871871276355,3609.943777727472,3609.371986927968,3610.2945663158744,3609.4850827173454,3606.5396769665126,3610.3758073372246,3611.092813217335,3610.9163489803873,3608.7167763942566
stencil,heat,50000,24,11987.582154099213,11931.544626607443,12012.188696767751,16364.627998052323,16581.640453568296,16578.42958837947,16545.92433126421,12018.969223114915,16557.135426362973,16768.38119167702
stencil,heat,50000,2,6081.509506080619,5938.700193547304,6051.989336003831,6070.14769811482,6092.12473503476,6069.9162216588065,6061.63755033532,6077.728008959902,6080.593421228419,6048.183090269267
stencil,heat,50000,32,15866.567118553523,16234.839112597632,16162.12830659048,16183.693168390684,16076.451402942497,16151.981290008249,15958.428498180781,16148.100652508865,16243.82055500514,16109.200995727042
stencil,heat,50000,4,9671.836753117517,9651.783667971195,9781.845436399211,9649.062359744534,9747.935689518217,9761.10296390179,9709.622248600723,9837.489222826302,9687.705368210849,9828.6044425566
stencil,heat,50000,8,13871.605849564263,13922.104062324193,13897.66683804746,13824.46473992798,13875.03654477241,13846.831159701143,13867.352302414825,13867.591840705469,13911.85967239182,13869.475469360967
stencil,heat,70000,2,6123.848276733442,6138.76132462239,6136.978288964125,6137.827144295673,6131.8991004544205,6142.896619912073,6144.1293239337465,6140.684865160783,6134.083678677868
stencil,mpi,100000,16,1420306.089726,1439534.600054,1428938.282191,1435452.843153,1431898.540574,1430489.445964,1429164.251186,1429541.701578,1417442.261261,1421563.401359
stencil,mpi,100000,1,90169.965367,90282.955429,90551.417825,90499.442474,90379.942919,90449.183460,90452.818272,90203.196322,90487.925392,90396.978944
stencil,mpi,100000,24,2124284.008116,2104124.610940,2117955.517845,2120197.545742,2130580.573943,2120362.842293,2106423.835723,2124755.280704,2101457.590229,2104315.438620
stencil,mpi,100000,2,180533.381113,180640.637167,181170.153977,181103.820007,179888.088673,180842.618995,180358.032168,180334.964101,180759.877716,180729.160642
stencil,mpi,100000,32,1413020.732755,1591749.224036,1638818.710561,1566268.746868,1937674.818238,1746185.705960,1611228.298232,1581159.717254,1988803.980782,1436261.472712
